id,content,label
1166,i think we should consider the actually the client prefers the original design,1
1127,Can you reset my password? My account password immediately,1
1240,im wondering if we need to no wait the test cases all passed successfully,1
1853,"This code needs to be reviewed by tomorrow, don't you thi",0
194,"This homework is taking forever, btw the new superhero movie looks",0
1563,the city council finally approved ... the new community garden project,1
1080,Yes. Do you know anything about a place called Sheep's Green and Lammas Land Park Fen Causeway,1
1460,the analysis confirms our initial wait let me see hypothesis about user engagement patterns,1
1092,Can you explain the charges the charges on my statement that look,0
1224,we might need to reschedule the actually the meeting room is available now,1
1838,"You've seen the latest sales figures, haven't you, because I wanted to",0
900,I was thinking about the project the project where we,0
1741,I was trying to access the repository but the permissions seem to be,0
176,my laptop keeps crashing at work which inspired me to finally start that coding bootcamp ive been wanting to try,1
1588,considering the Huntingdon Marriott Hotel but the location is somewhat,0
1986,by taking the bus,1
831,Bruv the way man just pulled up saying ciao and then,0
1795,bout those quarterly reports dont you think we should,0
1778,You have. Thank you. Goodbye,1
1988,twice a week,1
1698,The local theater group is performing Shakespeare in the park this summer,1
994,The deadline is three fifteen unless we,0
1051,The manager wanted to discuss wanted to discuss something about our,0
112,We are processing refund of $456.78 to card ending in,0
68,That's fine. Can I please have the phone number,1
864,"Thanks, I'll call that now. Bye",1
699,I'd like one in the expensive price range that includes free wifi,1
1132,No,1
260,mans really stood there lookin all types of confused while everybody was,0
677,ah gotcha now i see why they changed the process,1
1806,speaking of the new restaurant downtown have you tried,0
441,No. You're the best. Have a great day. Goodbye,1
422,ah shoot what was I supposed to do with the thing that,0
734,Yes I just am looking to get the phone number of one,1
856,I don't care as long as it's expensive,1
562,Betcha didn't know that I was gonna,0
1223,they mentioned something about how the updates might affect the,0
1248,"Okay, that sounds good, but what about my resume, I was thinking of",0
88,I think the serial number 789XB requires,0
1766,regarding joseph's proposal dont you think we could,0
475,"Oh boy, these new running shoes make such a difference in my performance",1
341,"Connect to Server A- no, Server B for the backup process",1
791,help me get a taxi to the cambridge museum of technology please,1
1102,Could you explain your reasoning? Your logical reasoning for this output,1
774,I would like to book a taxi please,1
1152,im not sure if this is the right i can confirm the numbers match the quarterly report,1
637,finna watch this new show everbody been talkin bout,1
218,something about the way the way they designed this makes me feel so so,0
985,The AC isn't working - the AC in Conference Room C,1
1236,thank you very much,1
1485,sustainable development requires we need to consider while ensuring that the,0
1137,we need to discuss the budget for next i just noticed that something in the,0
217,they they told me the delivery would would arrive today but now im just,0
1330,Thank you. I also need a taxi two commute between the hotel and restaurant,1
1567,when we discussed the budget last time ... but nobody seemed to,0
1661,I enjoy Chinese food,1
1722,"Let's go with Cambridge Lodge. I'd like to book for 8 at 17:30 on Saturday, please",1
634,"Actually, I've already finished the first draft",1
1757,Remember to back up your files before installing the update,1
546,Mighta been better if we woulda just,0
1205,do you know if anyone has i already updated the project timeline,1
1067,Do you deliver to this address? This address in Downtown Seattle,1
1624,The distance between points A and B is 234.5 kilometers,1
1564,my brother spent six months ... learning how to build custom furniture,1
832,ey yaar trust me this restaurant ka khana is actually blessed,1
1097,The two-factor authentication two-factor authentication process keeps,0
1302,"Yes, is either of these hotels located in the north",1
960,Could you pass me that folder? The RED folder right there,1
503,No I just need the phone number. Thanks,1
1187,we were discussing the new features when suddenly the whole thing just,0
1787,the way the team responded to the changes dont you find it,0
609,kinda weird how da coffee machine always breaks on mondays,1
1873,"The new coffee machine works so much better, doesn't it",1
714,yeah yeah okay that clears up the confusion bout timing,1
1931,thats what they told us wasnt it but then I heard,0
1754,about the help you provided today and I was wondering if maybe,0
1058,Can you show me examples? Real-world examples of what you mean,1
1378,"Could you tell me where the-- perfect, I found Room 203 for Professor Chen's class",1
1655,The travel agent suggested several interesting destinations in,0
570,aint nobody told me we was sposed to bring food today,1
437,ah shoot I need to reschedule my dentist appointment for next week,1
1676,The neighborhood committee approved the new playground design,1
1471,my experience in software development oh you worked there too spans over fifteen years now,1
302,"My phone number is 555- sorry, 556-7890, you can reach me there",1
1793,need the taxi details,1
1744,"Yes, but i need to book four more people as well",1
990,i want indian food,1
1967,kind of like,0
1228,can someone tell me where the oh i located the backup files in the cloud,1
564,boutta start my new job next week at the mall,1
440,man oh man that concert was the best performance I have ever seen,1
818,Was proper calm still yeah but then mans started to,0
